Resolution,Time,Type,Channels
1280x720,16.0187,SEQUENTIAL,1
1920x1080,37.1347,SEQUENTIAL,1
3840x2160,149.592,SEQUENTIAL,1
1280x720,131.006,SEQUENTIAL,3
1920x1080,286.704,SEQUENTIAL,3
3840x2160,1082.32,SEQUENTIAL,3
3840x2160,4.467616,PARALLEL,1
3840x2160,5.639744,PARALLEL,3
1920x1080,1.649792,PARALLEL,1
1920x1080,2.851040,PARALLEL,3
1280x720,0.677120,PARALLEL,1
1280x720,1.333088,PARALLEL,3
1280x720,28.1677,SEQUENTIAL,1
1920x1080,59.1612,SEQUENTIAL,1
3840x2160,204.455,SEQUENTIAL,1
1280x720,189.124,SEQUENTIAL,3
1920x1080,386.285,SEQUENTIAL,3
3840x2160,1397.49,SEQUENTIAL,3
3840x2160,4.639008,PARALLEL,1
3840x2160,13.354816,PARALLEL,3
1920x1080,1.321024,PARALLEL,1
1920x1080,4.077120,PARALLEL,3
1280x720,1.211040,PARALLEL,1
1280x720,2.714336,PARALLEL,3
1280x720,17.2593,SEQUENTIAL,1
1920x1080,54.444,SEQUENTIAL,1
3840x2160,181.062,SEQUENTIAL,1
1280x720,160.061,SEQUENTIAL,3
1920x1080,357.003,SEQUENTIAL,3
3840x2160,1380.09,SEQUENTIAL,3
3840x2160,4.731552,PARALLEL,1
3840x2160,17.647585,PARALLEL,3
1920x1080,1.972576,PARALLEL,1
1920x1080,4.350784,PARALLEL,3
1280x720,1.086368,PARALLEL,1
1280x720,2.370592,PARALLEL,3
1280x720,17.8023,SEQUENTIAL,1
1920x1080,48.1727,SEQUENTIAL,1
3840x2160,190.723,SEQUENTIAL,1
1280x720,174.139,SEQUENTIAL,3
1920x1080,368.199,SEQUENTIAL,3
3840x2160,1356.45,SEQUENTIAL,3
3840x2160,4.290784,PARALLEL,1
3840x2160,13.173504,PARALLEL,3
1920x1080,1.434016,PARALLEL,1
1920x1080,4.068096,PARALLEL,3
1280x720,0.828576,PARALLEL,1
1280x720,2.301824,PARALLEL,3
