Width,Height,Channels,Method,ExecutionTime(ms),BlockWidth,BlockHeight,TileWidth,TileHeight
128,128,1,Grayscale,0.961152,32,32,32,32
128,128,3,YCbCr,0.691808,32,32,32,32
256,256,1,Grayscale,0.61648,32,32,32,32
256,256,3,YCbCr,0.721952,32,32,32,32
1024,1024,1,Grayscale,1.03168,32,32,32,32
1024,1024,3,YCbCr,0.891328,32,32,32,32
2048,2048,1,Grayscale,2.14182,32,32,32,32
2048,2048,3,YCbCr,2.78909,32,32,32,32
128,128,1,Grayscale,0.616384,32,32,32,32
128,128,3,YCbCr,0.89728,32,32,32,32
256,256,1,Grayscale,0.733088,32,32,32,32
256,256,3,YCbCr,0.8192,32,32,32,32
1024,1024,1,Grayscale,1.67152,32,32,32,32
1024,1024,3,YCbCr,3.66544,32,32,32,32
2048,2048,1,Grayscale,5.75485,32,32,32,32
2048,2048,3,YCbCr,8.5799,32,32,32,32
128,128,1,Grayscale,0.924544,32,32,32,32
128,128,3,YCbCr,1.35901,32,32,32,32
256,256,1,Grayscale,3.55702,32,32,32,32
256,256,3,YCbCr,2.20547,32,32,32,32
1024,1024,1,Grayscale,2.06893,32,32,32,32
1024,1024,3,YCbCr,3.82698,32,32,32,32
2048,2048,1,Grayscale,5.4145,32,32,32,32
2048,2048,3,YCbCr,8.76755,32,32,32,32
128,128,1,Grayscale,2.38448,32,32,32,32
128,128,3,YCbCr,1.84173,32,32,32,32
256,256,1,Grayscale,2.26595,32,32,32,32
256,256,3,YCbCr,3.21203,32,32,32,32
1024,1024,1,Grayscale,3.08877,32,32,32,32
1024,1024,3,YCbCr,2.10918,32,32,32,32
2048,2048,1,Grayscale,8.24173,32,32,32,32
2048,2048,3,YCbCr,7.10122,32,32,32,32
1024,1024,3,calculate_histogram_soa,5.38362,32,32,32,32
1024,1024,3,prefix_sum_kernel,0.131072,1,1,256,1
1024,1024,3,histogram_equalization_soa,0.34752,32,32,32,32
128,128,1,Grayscale,1.5544,32,32,32,32
128,128,3,YCbCr,1.91578,32,32,32,32
256,256,1,Grayscale,1.66042,32,32,32,32
256,256,3,YCbCr,2.72893,32,32,32,32
1024,1024,1,Grayscale,2.83197,32,32,32,32
1024,1024,3,YCbCr,2.97539,32,32,32,32
2048,2048,1,Grayscale,6.93814,32,32,32,32
2048,2048,3,YCbCr,7.6815,32,32,32,32
128,128,1,Grayscale,1.80784,32,32,32,32
128,128,3,YCbCr,2.06314,32,32,32,32
256,256,1,Grayscale,2.62938,32,32,32,32
256,256,3,YCbCr,2.52739,32,32,32,32
1024,1024,1,Grayscale,2.30499,32,32,32,32
1024,1024,3,YCbCr,3.03683,32,32,32,32
2048,2048,1,Grayscale,7.98253,32,32,32,32
2048,2048,3,YCbCr,7.57354,32,32,32,32
128,128,1,Grayscale,0.932096,32,32,32,32
128,128,3,YCbCr,1.37891,32,32,32,32
256,256,1,Grayscale,3.32294,32,32,32,32
256,256,3,YCbCr,2.37206,32,32,32,32
1024,1024,1,Grayscale,3.9663,32,32,32,32
1024,1024,3,YCbCr,4.34848,32,32,32,32
2048,2048,1,Grayscale,7.97334,32,32,32,32
2048,2048,3,YCbCr,9.02938,32,32,32,32
128,128,1,Grayscale,1.07693,32,32,32,32
128,128,3,YCbCr,1.95408,32,32,32,32
256,256,1,Grayscale,1.87174,32,32,32,32
256,256,3,YCbCr,2.40634,32,32,32,32
1024,1024,1,Grayscale,3.63267,32,32,32,32
