Stage,Time (ms),Width,Height,Channels,TileWidth,TileHeight
Histogram computation,0.1024,128,128,1,16,16
CDF computation,0.02048,128,128,1,16,16
Equalization,0.018432,128,128,1,16,16
Total execution,0.462848,128,128,1,16,16
Histogram computation,0.011264,256,256,1,16,16
CDF computation,0.014336,256,256,1,16,16
Equalization,0.01024,256,256,1,16,16
Total execution,0.36352,256,256,1,16,16
Histogram computation,0.027648,512,512,1,16,16
CDF computation,0.013312,512,512,1,16,16
Equalization,0.01024,512,512,1,16,16
Total execution,0.2304,512,512,1,16,16
Histogram computation,0.101376,1024,1024,1,16,16
CDF computation,0.021504,1024,1024,1,16,16
Equalization,0.029696,1024,1024,1,16,16
Total execution,0.385024,1024,1024,1,16,16
Histogram computation,0.351232,2048,2048,1,16,16
CDF computation,0.014336,2048,2048,1,16,16
Equalization,0.070656,2048,2048,1,16,16
Total execution,0.723008,2048,2048,1,16,16
